off_long,off_lat,pop_up
116.231,39.895,3
116.231,39.906,50
116.231,40.07,2
116.232,39.852,8
116.233,39.835,5
116.234,39.902,2
116.234,40.077,2
116.235,39.888,32
116.235,39.928,6
116.235,40.119,2
116.236,39.896,63
116.236,39.904,80
116.236,39.906,6
116.236,39.928,1
116.236,40.051,2
116.237,40.044,2
116.237,40.046,1
116.239,39.902,15
116.239,40.119,4
116.24,39.855,31
116.24,39.928,13
116.241,39.868,1
116.241,40.065,3
116.242,39.888,20
116.243,39.928,9
116.243,40.059,1
116.244,39.847,2
116.244,39.87,2
116.244,39.871,1
116.245,39.837,3
116.245,39.902,65
116.245,39.906,21
116.245,40.084,1
116.246,39.835,3
116.246,39.839,2
116.246,39.874,41
116.246,39.881,25
116.246,39.887,14
116.246,39.891,404
116.246,39.896,10
116.246,39.897,150
116.246,39.9,47
116.246,39.904,50
116.246,39.907,15
116.246,39.908,43
116.246,39.91,68
116.246,39.914,78
116.246,39.919,4
116.246,39.921,2
116.246,39.926,3
116.247,39.874,1
116.248,39.87,11
116.248,39.871,2
116.248,39.888,134
116.248,39.895,6
116.248,39.899,24
116.248,39.928,1
116.248,40.042,1
116.248,40.212,1
116.249,39.846,15
116.249,39.858,40
116.249,39.916,102
116.249,40.004,1
116.249,40.075,3
116.25,39.902,4
116.25,40.049,1
116.251,39.84,7
116.251,39.871,3
116.251,40.119,2
116.251,40.164,1
116.252,39.849,15
116.252,39.871,14
116.252,39.916,17
116.252,40.051,2
116.252,40.22,1
116.253,39.768,1
116.253,39.919,14
116.253,40.04,40
116.254,39.861,6
116.254,39.896,8
116.254,39.899,12
116.254,40.077,7
116.255,39.861,22
116.255,39.888,31
116.255,39.902,9
116.255,39.916,46
116.255,39.928,1
116.255,40.05,6
116.256,39.833,16
116.256,39.87,16
116.256,40.085,1
116.257,40.049,2
116.257,40.055,1
116.258,39.884,5
116.258,39.891,2
116.258,39.896,2
116.258,39.9,3
116.258,39.917,1
116.258,39.926,1
116.259,39.86,4
116.259,39.863,27
116.259,39.916,8
116.259,40.028,1
116.259,40.049,2
116.259,40.052,1
116.26,39.854,8
116.26,39.888,5
116.26,39.899,1
116.26,39.906,1
116.26,40.021,1
116.261,39.833,2
116.261,39.849,6
116.261,39.899,5
116.261,39.902,4
116.261,40.008,3
116.261,40.081,13
116.262,39.783,1
116.262,39.916,35
116.262,40.004,1
116.262,40.03,53
116.263,39.768,1
116.263,39.816,3
116.263,39.82,5
116.264,39.821,8
116.264,39.828,2
116.264,39.866,1
116.264,40.011,6
116.264,40.119,14
116.265,39.833,3
116.265,39.845,2
116.265,39.927,2
116.265,40.007,3
116.266,39.879,2
116.266,39.895,6
116.266,39.899,2
116.267,39.768,2
116.267,39.863,9
116.267,39.887,20
116.267,39.889,2
116.267,39.892,2
116.267,39.893,1
116.267,39.901,1
116.267,39.916,1
116.268,39.869,6
116.268,39.882,7
116.268,39.884,16
116.268,39.888,2
116.268,39.889,1
116.268,39.892,4
116.268,40.001,1
116.268,40.002,14
116.269,39.759,12
116.269,39.883,2
116.269,39.899,3
116.269,39.921,30
116.269,39.925,5
116.269,39.927,1
116.269,39.947,1
116.269,40.028,35
116.27,39.875,1
116.27,39.888,10
116.27,40.031,9
116.271,39.755,4
116.271,39.876,1
116.271,39.906,161
116.271,40.048,1
116.271,40.086,1
116.271,40.169,2
116.271,40.199,1
116.272,39.751,7
116.272,40.024,9
116.272,40.025,9
116.273,39.848,3
116.273,39.87,3
116.273,40.088,2
116.274,39.87,3
116.274,39.98,1
116.274,39.99,8
116.274,40.019,2
116.274,40.022,18
116.274,40.162,8
116.275,39.868,2
116.275,39.899,9
116.275,39.916,3
116.275,39.975,4
116.276,39.859,4
116.276,39.861,3
116.276,39.906,48
116.277,39.849,9
116.277,39.85,8
116.277,39.855,22
116.277,39.861,11
116.277,40.212,3
116.278,39.911,2
116.278,39.973,3
116.278,40.018,62
116.278,40.032,12
116.278,40.108,17
116.279,39.841,7
116.279,40.05,1
116.279,40.2,2
116.28,39.788,3
116.28,39.791,1
116.28,39.802,1
116.28,39.837,14
116.28,39.923,4
116.28,40.021,2
116.28,40.043,3
116.281,39.834,4
116.281,39.864,18
116.281,39.899,6
116.281,39.906,22
116.281,40.006,7
116.281,40.01,8
116.281,40.207,3
116.281,40.209,1
116.282,39.847,4
116.283,39.784,3
116.283,39.825,3
116.283,39.827,1
116.283,39.864,1
116.283,39.998,22
116.283,40.032,77
116.283,40.206,2
116.284,39.775,6
116.284,39.812,1
116.284,39.819,2
116.284,39.821,1
116.284,39.835,8
116.284,40.103,12
116.285,39.742,2
116.285,39.781,1
116.285,39.996,8
116.285,39.998,8
116.285,40.022,2
116.285,40.039,45
116.285,40.092,15
116.286,39.864,19
116.286,40.099,11
116.287,39.779,5
116.287,39.854,1
116.287,39.856,1
116.287,39.906,41
116.287,40.052,9
116.288,39.862,2
116.288,39.87,1
116.288,40.042,17
116.288,40.092,1
116.289,39.935,8
116.289,40.206,2
116.29,39.696,1
116.29,39.742,1
116.29,39.888,35
116.29,39.896,1
116.29,39.906,5
116.29,39.916,5
116.29,39.93,1
116.29,39.969,7
116.29,39.971,19
116.291,39.778,7
116.291,39.832,1
116.291,39.841,1
116.291,39.965,23
116.292,39.78,8
116.292,39.813,7
116.292,39.816,15
116.292,39.865,16
116.292,40.023,3
116.292,40.05,26
116.293,39.811,12
116.293,39.922,3
116.293,40.032,5
116.293,40.041,16
116.294,39.906,70
116.294,39.977,4
116.294,39.996,2
116.295,39.856,1
116.295,39.888,30
116.295,39.914,1
116.295,40.044,35
116.296,39.687,2
116.296,39.865,14
116.296,39.908,13
116.296,40.087,6
116.297,39.508,1
116.297,39.762,2
116.297,39.88,2
116.297,39.957,18
116.297,40.033,6
116.298,39.69,1
116.298,39.742,7
116.298,39.794,9
116.298,39.856,1
116.298,39.911,11
116.299,39.791,8
116.299,39.922,2
116.299,39.923,4
116.299,40.043,3
116.3,39.784,4
116.3,39.952,10
116.3,40.024,1
116.301,39.905,2
116.301,40.032,1
116.301,40.049,28
116.301,40.205,1
116.302,39.418,4
116.302,39.856,1
116.302,39.866,53
116.302,40.034,6
116.302,40.038,8
116.302,40.079,2
116.303,39.414,1
116.303,39.43,2
116.303,39.433,2
116.303,39.437,1
116.303,39.438,1
116.303,39.442,1
116.303,39.463,7
116.303,39.9,36
116.303,39.908,10
116.303,39.911,28
116.303,39.912,18
116.303,39.92,13
116.303,39.927,9
116.303,39.928,17
116.303,39.936,36
116.303,39.948,3
116.303,39.953,9
116.304,39.404,1
116.304,39.786,6
116.304,39.88,13
116.304,39.888,24
116.304,39.889,18
116.304,39.895,4
116.304,39.906,37
116.304,39.921,33
116.304,39.928,1
116.304,39.943,31
116.304,39.946,42
116.305,39.786,5
116.305,39.836,3
116.305,39.866,3
116.305,39.872,19
116.305,39.873,1
116.305,39.879,1
116.305,39.88,7
116.305,40.031,2
116.306,39.907,15
116.306,39.998,3
116.306,40.051,1
116.307,39.786,3
116.307,39.863,13
116.307,39.866,4
116.307,39.963,30
116.307,40.02,3
116.307,40.023,1
116.307,40.025,5
116.307,40.026,2
116.307,40.035,1
116.308,39.866,52
116.308,39.909,20
116.308,40.002,3
116.308,40.035,1
116.308,40.071,13
116.309,39.886,1
116.309,39.939,7
116.309,39.988,2
116.309,39.994,3
116.309,39.996,7
116.309,40.069,38
116.31,39.789,3
116.31,39.857,2
116.31,39.976,2
116.31,39.986,1
116.31,40.051,1
116.311,39.509,2
116.311,39.855,2
116.311,40.014,2
116.312,39.699,1
116.312,39.965,3
116.312,40.008,1
116.312,40.032,1
116.312,40.066,3
116.313,39.782,2
116.313,39.887,1
116.313,39.896,15
116.313,39.965,20
116.313,39.974,1
116.314,39.755,1
116.314,39.909,12
116.314,40.08,4
116.315,39.742,4
116.315,39.866,24
116.316,39.867,4
116.316,39.888,4
116.316,39.891,1
116.316,39.959,34
116.316,39.96,2
116.316,40.083,2
116.317,39.5,1
116.317,39.501,1
116.317,39.643,1
116.317,39.646,1
116.317,39.896,1
116.317,39.906,15
116.317,39.951,10
116.317,39.965,1
116.317,39.966,12
116.317,39.991,1
116.318,39.349,6
116.318,39.509,2
116.318,39.513,18
116.318,39.538,1
116.318,39.55,1
116.318,39.656,2
116.318,39.666,2
116.318,39.67,2
116.318,39.906,54
116.318,39.942,11
116.318,39.943,1
116.318,39.947,15
116.318,40.079,11
116.319,39.514,1
116.319,39.53,5
116.319,39.531,13
116.319,39.62,1
116.319,39.624,1
116.319,39.629,4
116.319,39.632,3
116.319,39.675,4
116.319,39.906,8
116.319,39.935,1
116.319,39.939,1
116.32,39.52,22
116.32,39.565,3
116.32,39.616,3
116.32,39.731,1
116.32,39.848,1
116.32,40.076,1
116.32,40.083,8
116.32,40.203,7
116.321,39.59,2
116.321,39.606,3
116.321,39.781,18
116.321,39.848,5
116.321,39.868,1
116.321,39.87,5
116.321,39.937,1
116.321,39.991,4
116.322,39.788,49
