off_long,off_lat,pop_up
116.254,40.077,2
116.255,39.861,11
116.255,39.888,10
116.255,39.902,4
116.255,39.928,1
116.255,40.05,5
116.256,39.833,7
116.256,39.928,3
116.257,39.689,1
116.258,39.884,2
116.258,39.891,2
116.258,39.896,6
116.258,39.9,3
116.258,39.917,3
116.258,39.921,1
116.258,39.926,3
116.259,39.86,1
116.259,39.863,10
116.259,39.916,2
116.259,40.028,1
116.26,39.854,4
116.26,39.888,4
116.26,39.906,4
116.26,40.021,5
116.261,39.833,2
116.261,39.849,1
116.261,39.899,13
116.261,39.902,6
116.261,40.008,5
116.261,40.081,5
116.262,39.896,1
116.262,39.916,18
116.262,40.03,13
116.263,39.768,3
116.263,39.816,2
116.263,39.82,5
116.264,39.821,12
116.264,39.828,7
116.264,39.866,2
116.264,39.927,1
116.264,40.011,6
116.264,40.119,11
116.265,39.845,7
116.265,39.899,1
116.266,39.879,5
116.266,39.895,7
116.266,39.899,6
116.267,39.768,1
116.267,39.863,3
116.267,39.887,4
116.267,39.889,3
116.267,39.892,1
116.267,39.893,3
116.267,39.901,7
116.267,39.916,2
116.268,39.869,2
116.268,39.882,3
116.268,39.884,9
116.268,39.892,2
116.268,39.931,1
116.268,39.935,2
116.268,40.002,25
116.268,40.028,1
116.269,39.759,7
116.269,39.883,2
116.269,39.899,10
116.269,39.921,5
116.269,39.927,1
116.269,40.028,4
116.27,39.875,1
116.27,39.888,1
116.27,40.001,2
116.27,40.019,7
116.27,40.031,2
116.271,39.755,1
116.271,39.906,106
116.271,40.169,6
116.272,39.751,5
116.272,39.845,2
116.272,40.024,2
116.273,39.59,1
116.273,39.848,1
116.273,39.87,2
116.273,40.088,1
116.274,39.87,3
116.274,39.99,3
116.274,40.022,1
116.274,40.162,6
116.275,39.868,4
116.275,39.899,4
116.275,39.916,1
116.275,39.955,1
116.275,39.975,1
116.276,39.855,4
116.276,39.859,3
116.276,39.861,1
116.276,39.906,38
116.276,39.989,2
116.277,39.849,4
116.277,39.85,16
116.277,39.855,6
116.277,39.861,5
116.277,40.212,1
116.278,40.018,11
116.278,40.032,2
116.278,40.049,1
116.278,40.108,9
116.279,39.695,1
116.279,39.751,1
116.279,39.841,3
116.279,39.846,1
116.279,39.858,1
116.28,39.791,2
116.28,39.802,1
116.28,39.837,11
116.28,40.021,2
116.281,39.833,6
116.281,39.834,5
116.281,39.864,11
116.281,39.899,2
116.281,39.906,21
116.281,40.006,17
116.281,40.01,12
116.282,40.041,2
116.283,39.784,9
116.283,39.825,4
116.283,39.864,1
116.283,39.911,1
116.283,39.998,8
116.283,40.032,11
116.284,39.775,3
116.284,39.794,2
116.284,39.805,3
116.284,39.812,4
116.284,39.814,1
116.284,39.816,2
116.284,39.819,1
116.284,39.821,3
116.284,39.835,2
116.284,40.103,1
116.285,39.742,1
116.285,39.781,1
116.285,39.996,2
116.285,39.997,9
116.285,40.022,1
116.285,40.039,5
116.285,40.092,7
116.286,39.864,21
116.286,39.996,18
116.286,40.099,5
116.287,39.779,11
116.287,39.899,1
116.287,39.906,17
116.287,40.052,2
116.288,39.849,1
116.288,39.862,3
116.288,39.866,1
116.288,39.89,1
116.288,39.897,2
116.288,40.042,1
116.288,40.092,2
116.289,40.206,4
116.29,39.742,6
116.29,39.877,1
116.29,39.888,9
116.29,39.906,2
116.29,39.969,2
116.29,39.971,5
116.291,39.778,2
116.291,39.965,9
116.292,39.78,9
116.292,39.813,5
116.292,39.816,2
116.292,39.865,7
116.293,39.811,3
116.293,39.922,4
116.293,40.032,1
116.293,40.041,1
116.294,39.906,21
116.294,39.977,2
116.294,39.978,7
116.294,40.044,5
116.295,39.604,1
116.295,39.888,14
116.295,40.044,9
116.296,39.498,2
116.296,39.687,2
116.296,39.865,5
116.296,39.908,1
116.296,40.087,1
116.297,39.762,1
116.297,39.957,2
116.297,40.033,4
116.298,39.69,1
116.298,39.911,9
116.299,39.791,12
116.299,39.922,2
116.299,40.043,1
116.3,39.784,4
116.3,39.952,7
116.3,40.024,2
116.301,39.905,2
116.301,40.032,4
116.301,40.049,3
116.301,40.205,1
116.302,39.418,1
116.302,39.856,1
116.302,39.866,21
116.302,39.959,2
116.302,40.034,1
116.302,40.038,5
116.302,40.079,1
116.303,39.408,1
116.303,39.433,3
116.303,39.442,1
116.303,39.453,4
116.303,39.463,1
116.303,39.9,12
116.303,39.908,1
116.303,39.911,11
116.303,39.912,10
116.303,39.92,11
116.303,39.927,3
116.303,39.928,7
116.303,39.936,15
116.303,39.943,9
116.303,39.948,14
116.303,39.953,9
116.304,39.4,1
116.304,39.698,1
116.304,39.88,1
116.304,39.888,4
116.304,39.889,9
116.304,39.895,3
116.304,39.902,1
116.304,39.906,18
116.304,39.921,12
116.304,39.943,11
116.304,39.946,13
116.305,39.748,1
116.305,39.786,3
116.305,39.836,1
116.305,39.872,2
116.305,39.873,2
116.305,40.031,3
116.306,39.509,1
116.306,39.907,4
116.306,39.998,3
116.306,40.051,1
116.307,39.863,9
116.307,39.866,8
116.307,39.963,11
116.307,40.023,3
116.307,40.026,3
116.308,39.866,16
116.308,39.909,1
116.308,40.002,1
116.308,40.035,2
116.308,40.071,1
116.309,39.363,1
116.309,39.886,4
116.309,39.939,4
116.309,39.994,4
116.309,39.996,3
116.309,40.069,15
116.31,40.051,1
116.311,39.509,1
116.311,39.855,1
116.311,40.014,1
116.312,39.699,4
116.312,39.965,3
116.312,40.008,1
116.312,40.066,2
116.313,39.782,1
116.313,39.896,5
116.313,39.965,17
116.314,39.909,4
116.314,40.08,6
116.315,39.742,2
116.315,39.792,1
116.315,39.865,1
116.315,39.866,19
116.315,39.888,3
116.315,39.895,1
116.316,39.888,2
116.316,39.959,12
116.316,40.035,2
116.316,40.063,1
116.316,40.083,2
116.317,39.5,1
116.317,39.501,4
116.317,39.906,18
