off_long,off_lat,pop_up
116.235,40.119,7
116.236,39.896,63
116.236,39.903,6
116.236,39.904,3
116.236,39.906,14
116.236,40.211,1
116.236,40.219,4
116.237,40.044,1
116.238,39.902,18
116.239,39.902,29
116.239,40.072,1
116.239,40.119,11
116.239,40.211,1
116.24,39.855,3
116.24,39.928,3
116.241,39.863,1
116.241,39.868,3
116.241,40.065,9
116.242,39.888,52
116.242,40.211,2
116.243,39.928,12
116.243,40.059,5
116.244,39.847,18
116.244,39.87,2
116.245,39.837,1
116.245,39.902,222
116.245,39.906,21
116.246,39.839,2
116.246,39.874,24
116.246,39.879,6
116.246,39.881,57
116.246,39.887,41
116.246,39.891,190
116.246,39.896,2
116.246,39.897,100
116.246,39.9,47
116.246,39.904,172
116.246,39.907,2
116.246,39.908,38
116.246,39.91,98
116.246,39.914,66
116.246,39.919,4
116.246,39.926,5
116.246,40.22,4
116.247,39.874,2
116.248,39.87,6
116.248,39.871,1
116.248,39.888,35
116.248,39.895,3
116.248,39.899,37
116.249,39.846,27
116.249,39.858,4
116.249,39.916,69
116.249,40.075,51
116.25,39.902,2
116.25,40.049,5
116.251,39.84,7
116.251,39.871,1
116.251,40.119,20
116.252,39.849,34
116.252,39.871,10
116.252,39.916,9
116.253,39.919,13
116.253,40.04,20
116.253,40.042,14
116.253,40.212,2
116.254,39.861,2
116.254,39.896,3
116.254,39.899,12
116.254,40.077,36
116.255,39.888,24
116.255,39.902,3
116.255,39.916,29
116.255,39.928,2
116.255,40.05,1
116.256,39.692,2
116.256,39.833,8
116.256,39.87,12
116.258,39.884,1
116.258,39.891,1
116.258,39.896,4
116.258,39.9,3
116.258,39.917,1
116.259,39.863,13
116.259,39.916,6
116.259,40.028,3
116.259,40.22,5
116.26,39.854,2
116.26,39.888,12
116.26,39.899,2
116.26,39.906,2
116.26,40.021,12
116.26,40.037,4
116.261,39.833,13
116.261,39.849,3
116.261,39.899,33
116.261,39.902,2
116.261,40.008,13
116.261,40.014,2
116.261,40.049,2
116.261,40.081,12
116.262,39.783,5
116.262,39.879,8
116.262,39.896,1
116.262,39.916,9
116.262,40.004,2
116.262,40.03,32
116.263,39.768,1
116.263,39.816,3
116.263,39.82,6
116.263,39.953,1
116.263,40.083,21
116.264,39.821,5
116.264,39.828,1
116.264,39.866,11
116.264,39.927,5
116.264,40.011,5
116.264,40.119,25
116.265,39.833,12
116.265,39.845,39
116.265,39.899,3
116.265,39.927,4
116.265,40.018,3
116.266,39.879,3
116.266,39.895,2
116.266,39.899,8
116.267,39.768,9
116.267,39.863,7
116.267,39.887,11
116.267,39.889,5
116.267,39.892,6
116.267,39.893,8
116.267,39.901,1
116.267,39.916,3
116.267,39.935,2
116.267,40.197,5
116.268,39.869,6
116.268,39.882,16
116.268,39.884,11
116.268,39.888,11
116.268,39.889,1
116.268,39.892,10
116.268,39.919,1
116.268,39.925,2
116.268,39.935,1
116.268,39.941,5
116.268,40.002,47
116.269,39.759,12
116.269,39.883,3
116.269,39.899,7
116.269,39.921,5
