off_long,off_lat,pop_up
116.247,39.874,4
116.248,39.87,10
116.248,39.871,2
116.248,39.888,18
116.248,39.895,1
116.248,39.899,29
116.248,39.928,1
116.248,40.042,2
116.249,39.846,15
116.249,39.858,5
116.249,39.916,35
116.249,40.004,5
116.249,40.075,7
116.25,40.049,3
116.251,39.84,13
116.251,39.871,1
116.251,40.119,2
116.252,39.849,15
116.252,39.871,7
116.252,39.916,11
116.253,39.919,6
116.253,40.04,3
116.253,40.042,2
116.254,39.896,3
116.254,39.899,8
116.254,40.051,1
116.254,40.077,12
116.255,39.861,2
116.255,39.888,3
116.255,39.902,7
116.255,39.916,9
116.255,40.05,2
116.256,39.833,11
116.256,39.87,5
116.256,39.871,1
116.256,39.927,1
116.257,39.689,2
116.257,40.049,2
116.258,39.884,2
116.258,39.896,4
116.258,39.9,6
116.258,39.921,3
116.258,39.926,1
116.259,39.863,11
116.259,39.916,2
116.259,40.028,1
116.259,40.22,3
116.26,39.888,8
116.26,39.899,1
116.26,39.906,8
116.26,40.021,5
116.261,39.833,5
116.261,39.849,1
116.261,39.899,25
116.261,40.008,6
116.261,40.081,15
116.262,39.916,2
116.262,40.03,9
116.263,39.816,4
116.263,39.82,5
116.263,40.083,3
116.264,39.693,1
116.264,39.821,2
116.264,39.828,3
116.264,39.866,2
116.264,39.927,1
116.264,40.119,8
116.265,39.833,4
116.265,39.845,16
116.265,39.899,2
116.265,39.927,4
116.265,40.007,2
116.266,39.768,1
116.266,39.879,1
116.266,39.895,2
116.266,39.899,5
116.266,40.192,1
116.267,39.863,3
116.267,39.887,3
116.267,39.889,1
116.267,39.892,2
116.267,39.901,2
116.267,39.916,1
116.268,39.869,6
116.268,39.882,14
116.268,39.884,2
116.268,39.888,2
116.268,39.889,1
116.268,39.892,2
116.268,39.935,2
116.268,39.941,1
116.268,40.001,3
116.268,40.002,19
116.268,40.028,1
116.269,39.759,7
116.269,39.899,2
116.269,39.921,1
116.269,39.927,5
116.269,39.928,1
116.269,39.954,1
116.269,40.028,2
116.27,39.875,6
116.27,39.888,1
116.271,39.755,2
116.271,39.876,1
116.271,39.906,55
116.271,40.169,9
116.271,40.199,1
116.271,40.211,3
116.272,39.845,7
116.272,40.024,4
116.273,39.87,2
116.273,40.088,1
116.274,39.87,6
116.274,39.98,1
116.274,40.019,1
116.274,40.021,6
116.274,40.022,1
116.274,40.162,14
116.275,39.899,2
116.275,39.955,1
116.276,39.855,6
116.276,39.859,2
116.276,39.906,11
116.276,39.996,2
116.277,39.849,1
116.277,39.85,56
116.277,39.855,23
116.277,39.861,1
116.277,40.212,1
116.278,39.911,3
116.278,39.973,1
116.278,40.018,3
116.278,40.032,4
116.278,40.108,14
116.279,39.695,1
116.279,39.841,1
116.279,39.846,5
116.279,40.2,1
116.28,39.788,2
116.28,39.802,2
116.28,39.837,58
116.28,39.838,1
116.28,39.923,1
116.28,40.021,1
116.281,39.833,11
116.281,39.834,5
116.281,39.864,10
116.281,39.899,2
116.281,39.906,14
116.281,40.006,5
116.281,40.01,2
116.281,40.207,2
116.281,40.209,1
116.282,39.839,1
116.282,39.847,4
116.283,39.784,11
116.283,39.825,24
116.283,39.827,4
116.283,39.864,8
116.283,39.911,1
116.283,39.978,1
116.283,39.998,7
116.283,40.032,2
116.283,40.206,4
116.284,39.746,2
116.284,39.775,3
116.284,39.794,8
116.284,39.805,5
116.284,39.806,1
116.284,39.812,12
116.284,39.814,12
116.284,39.816,3
116.284,39.821,10
116.284,40.103,3
116.285,39.742,3
116.285,39.781,6
116.285,39.842,1
116.285,39.997,1
116.285,40.022,4
116.285,40.039,2
116.285,40.092,3
116.286,39.604,3
116.286,39.695,2
116.286,39.864,4
116.286,39.996,1
116.286,40.099,2
116.287,39.779,35
